userId,tmdbId,scaled_predicted_rating,name,genre_name
1,278,4.002888470755939,The Shawshank Redemption,"Crime, Drama"
1,389,3.8377558423754348,12 Angry Men,Drama
1,530,3.8615396879121593,A Grand Day Out,"Comedy, Animation, Family"
1,550,3.8849722790358237,Fight Club,Drama
1,595,3.8907939799085884,To Kill a Mockingbird,Drama
1,826,3.8427407563394174,The Bridge on the River Kwai,"War, History, Drama"
1,935,3.8688631719126056,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"War, Comedy"
1,1891,3.8817082559280576,The Empire Strikes Back,"Science Fiction, Action, Adventure"
1,5925,4.103056936464727,The Great Escape,"War, Drama, Adventure"
1,359940,4.102022355808785,"Three Billboards Outside Ebbing, Missouri","Drama, Crime"
2,155,3.1947083352160686,The Dark Knight,"Thriller, Crime, Action, Drama"
2,807,3.1636969185950847,Se7en,"Thriller, Mystery, Crime"
2,8363,3.148404136958529,Superbad,Comedy
2,12133,3.3907343007607387,Step Brothers,Comedy
2,16869,3.156549914360423,Inglourious Basterds,"War, Thriller, Drama"
2,44639,3.509760950910491,Inside Job,"Crime, Documentary"
2,59440,3.5811410482557062,Warrior,"Action, Drama"
2,76341,3.4666743112813196,Mad Max: Fury Road,"Science Fiction, Adventure, Action"
2,106646,3.414640062270928,The Wolf of Wall Street,"Comedy, Drama, Crime"
2,329865,3.2010113057882807,Arrival,"Mystery, Science Fiction, Drama"
3,106,2.4373313531223704,Predator,"Thriller, Adventure, Action, Science Fiction"
3,923,2.1879456220655973,Dawn of the Dead,Horror
3,1091,2.7594114016159406,The Thing,"Science Fiction, Mystery, Horror"
3,1103,2.643522595804215,Escape from New York,"Action, Science Fiction"
3,8009,2.246860024263836,Highlander,"Fantasy, Action, Adventure"
3,8810,3.543893586964028,Mad Max 2,"Science Fiction, Thriller, Action, Adventure"
3,9387,3.0822063210448283,Conan the Barbarian,"Action, Fantasy, Adventure"
3,10061,3.0982109896593086,Escape from L.A.,"Thriller, Science Fiction, Adventure, Action"
3,10866,2.054744961161663,Joy Ride,"Drama, Thriller, Mystery"
3,11347,3.654319619349344,The Lair of the White Worm,"Comedy, Horror"
4,213,3.602852322243527,North by Northwest,"Adventure, Thriller"
4,221,3.681196549863207,Rebel Without a Cause,Drama
4,288,3.678321720055348,High Noon,"Drama, Western"
4,389,3.631243397994269,12 Angry Men,Drama
4,475,3.60147757044484,Bonnie and Clyde,"Drama, Crime"
4,756,3.6082136411185917,Fantasia,"Fantasy, Family, Animation"
4,770,3.609442605284674,Gone with the Wind,"Romance, War, Drama"
4,826,3.688702055264596,The Bridge on the River Kwai,"War, History, Drama"
4,845,3.705281775096574,Strangers on a Train,"Thriller, Crime"
4,3114,3.7144028802861873,The Searchers,Western
5,238,3.240851399774413,The Godfather,"Crime, Drama"
5,289,3.133756742678008,Casablanca,"Romance, Drama"
5,408,3.5880855696673057,Snow White and the Seven Dwarfs,"Family, Animation, Fantasy"
5,424,3.429538961531674,Schindler's List,"War, History, Drama"
5,581,3.3534322756767403,Dances with Wolves,"Western, Drama, Adventure"
5,680,3.221661569783254,Pulp Fiction,"Crime, Thriller"
5,1640,3.101413628500715,Crash,Drama
5,7984,3.5290812224676644,In the Name of the Father,Drama
5,10020,3.291099963425208,Beauty and the Beast,"Fantasy, Animation, Family, Romance"
5,10895,3.4500754088661045,Pinocchio,"Fantasy, Family, Animation"
6,13,3.591485149696617,Forrest Gump,"Romance, Drama, Comedy"
6,2925,3.4980207836895185,The First Wives Club,Comedy
6,8587,3.4633297213239564,The Lion King,"Drama, Animation, Family"
6,9359,3.4341815729547744,Maverick,"Western, Drama, Comedy, Adventure, Action"
6,10020,3.471795208446475,Beauty and the Beast,"Fantasy, Animation, Family, Romance"
6,10534,3.5906777760821322,White Squall,"Adventure, Drama"
6,10545,3.397375737357186,The Hunchback of Notre Dame,"Family, Animation, Drama"
6,11969,3.457083019662574,Tombstone,"Action, Western"
6,12233,3.5523761252716466,Oliver & Company,"Family, Comedy, Animation"
6,24428,3.4284967078424367,The Avengers,"Adventure, Action, Science Fiction"
7,11,3.2403095983678605,Star Wars,"Science Fiction, Action, Adventure"
7,13,3.255676126379974,Forrest Gump,"Romance, Drama, Comedy"
7,129,3.450829497527152,Spirited Away,"Fantasy, Family, Animation"
7,346,3.5206182930229106,Seven Samurai,"Drama, Action"
7,539,3.306504004044541,Psycho,"Mystery, Thriller, Horror"
7,603,3.261713098464626,The Matrix,"Science Fiction, Action"
7,871,3.4149290798583727,Planet of the Apes,"Action, Drama, Adventure, Science Fiction"
7,4909,3.3102066688890046,The Day of the Jackal,"Thriller, Action"
7,9255,3.2382591933595863,Hot Shots! Part Deux,"War, Comedy, Action"
7,37137,3.4962738897760244,The Naked Gun 2½: The Smell of Fear,"Crime, Comedy"
8,77,3.3555598372975917,Memento,"Thriller, Mystery"
8,289,3.3839249099910567,Casablanca,"Romance, Drama"
8,424,3.55668069695014,Schindler's List,"War, History, Drama"
